name,address
La Villita Corps Community Center,"3621 W 24th St, Chicago, IL 60623"
Garfield Park Community Worship Center,"4100 W Jackson Blvd, Chicago, IL 60624"
Fellowship MBC,"4543 S Princeton, Chicago, IL 60609"
Program Phone 773-924-3232,"3823 S Indiana Ave, Chicago, IL 60653"
Our Lady of Tepeyac Parish,"3047 W Cermak Rd, Chicago, IL 60623"
Carey Tercentenary AME Church,"1448 S Homan Ave, Chicago, IL 60623"
Chicago - LeMoyne Street Church of God,"3301 W Le Moyne St, Chicago, IL 60651"
Chicago Le Moyne St Church of God,"3301 W LeMoyne St, Chicago, IL 60651"
St Elizabeth Church SVDP,"4058 S Michigan Ave, Chicago, IL 60653"
St Sylvester Parish,"2915 W Palmer St, Chicago, IL 60647"
New Morning Star MBC,"206-210 South Hamlin Boulevard, Chicago, IL 60624"
Harris Temple AOH Church,"4138 South Cottage Grove Avenue, Chicago, IL 60653"
First Church of Deliverance,"4317 S Wabash Ave, Chicago, IL 60653"
El Mercadito,"3533 West North Avenue, Chicago, IL 60647"
Mission of Our Lady of the Angels,"3814 West Iowa Street, Chicago, IL 60651"
Greater Garfield MBC,"3757 W. Douglas Blvd, Chicago, IL 60623"
Open Arms Ministry,"2649 N Francisco Ave, Chicago, IL 60647"
Harmony Community Cares,"1908 S Millard Ave, Chicago, IL 60623"
Legler Branch,"115 South Pulaski Road, Chicago, IL 60624"
Kenwood Oakland Community Organization,"4321 S Cottage Grove Ave, Chicago, IL 60637"
Chicago Hope Inc.,"2505 N Kedzie Blvd, Chicago, IL 60647"
Above and Beyond Free Food Pantry,"817 South Pulaski Road, Chicago, IL 60624"
Keystone Baptist Church,"4035 W Maypole Ave, Chicago, IL 60624"
"Pilsen Wellness Center, Inc.","2319 S Damen Ave, Chicago, IL 60608"
Wells Temple of Deliverance Community Dev Center,"2739 W Madison St, Chicago, IL 60613"
Circle Foundation,"3052 S Gratten Ave, Chicago, IL 60608"
St Aloysius,"1510 N Claremont Ave, Chicago, IL 60622"
Greater Holy Temple COGIC,"246 N California Ave, Chicago, IL 60612"
Marillac St Vincent Family Services,"2859 W Jackson Blvd, Chicago, IL 60612"
A Safe Haven Foundation,"2750 W Roosevelt Rd, Chicago, IL 60608"
European American Association,"2827 W Division St, Chicago, IL 60622"
St Stephen AME Church,"3042 W Washington Blvd, Chicago, IL 60612"
St John UCC,"2442 W Moffat St, Chicago, IL 60647"
Mount Ridge Baptist Church,"2658 W Jackson Blvd, Chicago, IL 60612"
Instituto del Progreso Latino,"2570 S Blue Island Ave, Chicago, IL 60608"
Manna For Life,"2704 W North Ave, Chicago, IL 60647"
Sixth Grace Presbyterian Church,"600 E 35th St, Chicago, IL 60616"
Safer Foods,"808 S Kedzie Ave, Chicago, IL 60612"
West Point Baptist Church,"3566-72 S Cottage Grove Ave, Chicago, IL 60653"
Matthew House,"3728 S Indiana Ave, Chicago, IL 60653"
Breakthrough Urban Ministries Inc.,"3334 W Carroll Ave, Chicago, IL 60624"
St Agatha,"3147 W Douglas Blvd, Chicago, IL 60623"
Harbor Light Corps,"825 N Christiana Ave, Chicago, IL 60651"
Category Employment Services/Workforce Developmen Meals Ministry,"126 E Chestnut St, Chicago, IL 60611"
St Matthew Child Advocate,"1000 N Orleans St, Chicago, IL 60610"
Breaking Bread Ministries,"1111 N Wells St Ste 500, Chicago, IL 60610"
LaSalle Neighbors,"1111 N Wells St STE 301, Chicago, IL 60610"
Our Lady of the Holy Family,"1334 W. Flournoy St., Chicago, IL 60607"
Chicago Temple Corps Community Center,"1 N Ogden Ave, Chicago, IL 60607"
First Baptist Congregational Church of Chicago,"1613 W Washington Blvd, Chicago, IL 60612"
Northwestern University Settlement Association,"1400 W Augusta Blvd, Chicago, IL 60622"
Life Changers International Church,"1337 W. 15th Street, Chicago, IL 60608"
Life Changers International Church,"1337 W 15th Street, Chicago, IL 60608"
Pilgrim Rest MBC,"1901 W Washington Blvd, Chicago, IL 60612"
St Stanislaus Kostka,"1351 W Evergreen Ave, Chicago, IL 60642"
St Pius V Parish,"1919 S Ashland Ave, Chicago, IL 60608"
Midwest Asian Health Association,"218 W 26th St, Chicago, IL 60616"
St Teresa of Avila Parish,"1950 N Kenmore Ave, Chicago, IL 60614"
Pilsen Food Pantry,"2124 S Ashland Ave, Chicago, IL 60608"
Harvest Hub Lincoln Park,"2145 N Halsted St, Chicago, IL 60614"
St James,"2907 S Wabash Ave, Chicago, IL 60616"
Midwest Corps Community Center,"20 S Campbell Ave, Chicago, IL 60612"
Care For Friends,"530 W Fullerton Pkwy, Chicago, IL 60614"
