name,address,latitude,longitude
La Villita Corps Community Center,"3621 W 24th St, Chicago, IL 60623",41.8479422,-87.7157196
Garfield Park Community Worship Center,"4100 W Jackson Blvd, Chicago, IL 60624",41.8773219,-87.7282175
Fellowship MBC,"4543 S Princeton, Chicago, IL 60609",41.8113994,-87.6330952
Program Phone 773-924-3232,"3823 S Indiana Ave, Chicago, IL 60653",41.8242848,-87.620995
Our Lady of Tepeyac Parish,"3047 W Cermak Rd, Chicago, IL 60623",41.8515412,-87.7022271
Carey Tercentenary AME Church,"1448 S Homan Ave, Chicago, IL 60623",41.8613692,-87.7105112
Chicago - LeMoyne Street Church of God,"3301 W Le Moyne St, Chicago, IL 60651",41.907973,-87.7096112
Chicago Le Moyne St Church of God,"3301 W LeMoyne St, Chicago, IL 60651",,
St Elizabeth Church SVDP,"4058 S Michigan Ave, Chicago, IL 60653",41.8112024,-87.622891
St Sylvester Parish,"2915 W Palmer St, Chicago, IL 60647",41.9214635,-87.7007206
New Morning Star MBC,"206-210 South Hamlin Boulevard, Chicago, IL 60624",41.8800866,-87.7206558
Harris Temple AOH Church,"4138 South Cottage Grove Avenue, Chicago, IL 60653",41.8192422,-87.6071518
First Church of Deliverance,"4317 S Wabash Ave, Chicago, IL 60653",41.8161368,-87.6245346
El Mercadito,"3533 West North Avenue, Chicago, IL 60647",41.909739,-87.7155111
Mission of Our Lady of the Angels,"3814 West Iowa Street, Chicago, IL 60651",41.8975362,-87.7221371
Greater Garfield MBC,"3757 W. Douglas Blvd, Chicago, IL 60623",41.862283,-87.7180781
Open Arms Ministry,"2649 N Francisco Ave, Chicago, IL 60647",41.9301817,-87.6997116
Harmony Community Cares,"1908 S Millard Ave, Chicago, IL 60623",41.8546256,-87.7167539
Legler Branch,"115 South Pulaski Road, Chicago, IL 60624",41.879318,-87.7252852
Kenwood Oakland Community Organization,"4321 S Cottage Grove Ave, Chicago, IL 60637",41.8161532,-87.6062622
Chicago Hope Inc.,"2505 N Kedzie Blvd, Chicago, IL 60647",41.9268084,-87.7071683
Above and Beyond Free Food Pantry,"817 South Pulaski Road, Chicago, IL 60624",41.8706321,-87.7252273
Keystone Baptist Church,"4035 W Maypole Ave, Chicago, IL 60624",41.8843461,-87.7272049
"Pilsen Wellness Center, Inc.","2319 S Damen Ave, Chicago, IL 60608",41.8496584,-87.6754518
Wells Temple of Deliverance Community Dev Center,"2739 W Madison St, Chicago, IL 60613",41.8808584,-87.6955049
Circle Foundation,"3052 S Gratten Ave, Chicago, IL 60608",41.8388918,-87.6541087
St Aloysius,"1510 N Claremont Ave, Chicago, IL 60622",41.9087874,-87.6860697
Greater Holy Temple COGIC,"246 N California Ave, Chicago, IL 60612",41.8856433,-87.6967111
Marillac St Vincent Family Services,"2859 W Jackson Blvd, Chicago, IL 60612",41.8771478,-87.6982584
A Safe Haven Foundation,"2750 W Roosevelt Rd, Chicago, IL 60608",41.8671317,-87.6950182
European American Association,"2827 W Division St, Chicago, IL 60622",41.902833,-87.6979001
St Stephen AME Church,"3042 W Washington Blvd, Chicago, IL 60612",41.8834021,-87.703114
St John UCC,"2442 W Moffat St, Chicago, IL 60647",41.9150789,-87.6890209
Mount Ridge Baptist Church,"2658 W Jackson Blvd, Chicago, IL 60612",41.8775513,-87.6932333
Instituto del Progreso Latino,"2570 S Blue Island Ave, Chicago, IL 60608",41.8455255,-87.6838543
Manna For Life,"2704 W North Ave, Chicago, IL 60647",41.9100777,-87.7142681
Sixth Grace Presbyterian Church,"600 E 35th St, Chicago, IL 60616",41.8314617,-87.6102345
Safer Foods,"808 S Kedzie Ave, Chicago, IL 60612",41.8707792,-87.7059271
West Point Baptist Church,"3566-72 S Cottage Grove Ave, Chicago, IL 60653",,
Matthew House,"3728 S Indiana Ave, Chicago, IL 60653",41.8266561,-87.6217747
Breakthrough Urban Ministries Inc.,"3334 W Carroll Ave, Chicago, IL 60624",41.8877624,-87.7100913
St Agatha,"3147 W Douglas Blvd, Chicago, IL 60623",41.8623036,-87.7049337
Harbor Light Corps,"825 N Christiana Ave, Chicago, IL 60651",41.8958415,-87.7093203
Category Employment Services/Workforce Developmen Meals Ministry,"126 E Chestnut St, Chicago, IL 60611",41.8984525,-87.6251783
St Matthew Child Advocate,"1000 N Orleans St, Chicago, IL 60610",41.9008904,-87.6376424
Breaking Bread Ministries,"1111 N Wells St Ste 500, Chicago, IL 60610",,
LaSalle Neighbors,"1111 N Wells St STE 301, Chicago, IL 60610",,
Our Lady of the Holy Family,"1334 W. Flournoy St., Chicago, IL 60607",41.8732576,-87.6606253
Chicago Temple Corps Community Center,"1 N Ogden Ave, Chicago, IL 60607",41.8817687,-87.6651861
First Baptist Congregational Church of Chicago,"1613 W Washington Blvd, Chicago, IL 60612",41.8830957,-87.6676656
Northwestern University Settlement Association,"1400 W Augusta Blvd, Chicago, IL 60622",41.899857,-87.66327
Life Changers International Church,"1337 W. 15th Street, Chicago, IL 60608",41.8612576,-87.6608308
Life Changers International Church,"1337 W 15th Street, Chicago, IL 60608",41.8612576,-87.6608308
Pilgrim Rest MBC,"1901 W Washington Blvd, Chicago, IL 60612",41.8829546,-87.6744972
St Stanislaus Kostka,"1351 W Evergreen Ave, Chicago, IL 60642",41.906125,-87.6600481
St Pius V Parish,"1919 S Ashland Ave, Chicago, IL 60608",41.8552545,-87.665769
Midwest Asian Health Association,"218 W 26th St, Chicago, IL 60616",41.8455976,-87.6328646
St Teresa of Avila Parish,"1950 N Kenmore Ave, Chicago, IL 60614",41.9175147,-87.6546654
Pilsen Food Pantry,"2124 S Ashland Ave, Chicago, IL 60608",41.8538861,-87.6661551
Harvest Hub Lincoln Park,"2145 N Halsted St, Chicago, IL 60614",41.9216825,-87.6483429
St James,"2907 S Wabash Ave, Chicago, IL 60616",41.840624,-87.6253131
Midwest Corps Community Center,"20 S Campbell Ave, Chicago, IL 60612",41.8805142,-87.6889542
Care For Friends,"530 W Fullerton Pkwy, Chicago, IL 60614",41.9258188,-87.6330677
